Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,476.000000,483.200012,467.266998,471.799988,437.235168,3279614
2017-02-28,460.000000,463.266998,445.333008,446.700012,431.821716,7521292
2017-03-01,450.000000,451.266998,435.600006,439.632996,424.990082,5482936
2017-03-02,441.299988,443.600006,420.566986,423.433014,409.329651,8909256
2017-03-03,422.600006,423.600006,410.166992,421.867004,407.815796,11837120
2017-03-06,424.867004,428.933014,421.600006,425.032990,410.876343,4947909
2017-03-07,427.333008,432.467010,425.867004,430.600006,416.257935,3454140
2017-03-08,430.333008,433.566986,420.066986,426.000000,411.811157,3223611
2017-03-09,429.433014,429.600006,420.299988,421.333008,407.299591,3155532
2017-03-10,423.933014,424.632996,413.399994,415.566986,401.725616,3653210
2017-03-14,415.566986,427.333008,415.566986,424.467010,410.329224,4683009
2017-03-15,423.500000,429.233002,421.899994,424.333008,410.199677,2256408
2017-03-16,426.000000,432.933014,424.700012,431.833008,417.449860,2812221
2017-03-17,433.333008,433.333008,425.367004,428.066986,413.809265,3351987
2017-03-20,426.666992,432.000000,423.566986,429.066986,414.775970,1791368
2017-03-21,428.000000,432.666992,422.532990,427.933014,413.679779,2790560
2017-03-22,424.433014,432.333008,418.700012,430.000000,415.677917,2946236
2017-03-23,436.666992,440.000000,432.066986,436.700012,422.154785,5743254
2017-03-24,433.333008,434.666992,430.066986,433.132996,418.706543,2752752
2017-03-27,433.200012,435.933014,427.299988,428.766998,414.485962,2794962
2017-03-28,427.666992,432.266998,426.666992,430.632996,416.289856,1712650
2017-03-29,431.666992,433.666992,427.367004,428.733002,414.453125,2081874
2017-03-30,428.733002,431.000000,425.632996,427.100006,412.874512,4656444
2017-03-31,429.333008,438.666992,428.032990,433.233002,418.803223,3687568
2017-04-03,432.666992,433.032990,424.399994,425.600006,411.424469,1513334
2017-04-05,425.600006,428.867004,420.799988,425.166992,411.005890,5046658
2017-04-06,425.200012,431.733002,421.666992,430.799988,416.451263,2763386
2017-04-07,428.666992,453.000000,428.367004,450.233002,435.237000,7890526
2017-04-10,453.333008,469.899994,453.333008,466.867004,451.316986,7741542
2017-04-11,469.266998,475.733002,466.799988,473.600006,457.825714,5348888
2017-04-12,475.600006,481.100006,465.500000,478.200012,462.272522,3284840
2017-04-13,480.566986,494.632996,474.032990,487.399994,471.166077,4816965
2017-04-17,487.399994,492.000000,479.100006,482.500000,466.429291,2317008
2017-04-18,483.666992,491.032990,481.433014,482.799988,466.719299,2615272
2017-04-19,482.266998,487.799988,474.467010,481.933014,465.881195,2746041
2017-04-20,483.500000,486.566986,480.000000,480.867004,464.850677,1849893
2017-04-21,482.967010,484.899994,475.467010,477.200012,461.305847,1818399
2017-04-24,477.467010,480.000000,470.700012,476.566986,460.693878,2123874
2017-04-25,478.000000,494.532990,478.000000,492.899994,476.482910,3668848
2017-04-26,494.600006,496.600006,481.666992,487.833008,471.584686,1986456
2017-04-27,487.867004,492.299988,482.500000,490.666992,474.324280,1675718
2017-04-28,492.666992,493.132996,477.833008,479.500000,463.529205,2005066
2017-05-02,479.500000,495.333008,479.500000,493.233002,476.804810,3313906
2017-05-03,496.000000,502.367004,485.666992,490.799988,474.452850,3711117
2017-05-04,494.000000,494.000000,479.867004,487.666992,471.424164,2646592
2017-05-05,490.000000,496.666992,480.000000,483.166992,467.074066,3839194
2017-05-08,484.000000,486.399994,473.399994,477.066986,461.177246,2769770
2017-05-09,478.333008,482.000000,473.566986,480.933014,464.914490,1920567
2017-05-10,485.200012,486.666992,480.299988,485.500000,469.329376,2259860
2017-05-11,488.166992,490.266998,483.333008,487.100006,470.876068,2007280
2017-05-12,487.066986,490.632996,483.333008,488.766998,472.487549,1509681
2017-05-15,489.766998,490.666992,482.000000,485.233002,469.071259,1259512
2017-05-16,484.666992,490.000000,482.000000,488.867004,472.584229,1307282
2017-05-17,488.600006,489.333008,482.333008,484.967010,468.814117,1711544
2017-05-18,481.467010,485.000000,474.000000,476.600006,460.725830,1571612
2017-05-19,476.833008,481.632996,466.666992,468.299988,452.702240,1604319
2017-05-22,467.333008,467.333008,457.700012,463.733002,448.287354,2260406
2017-05-23,462.799988,470.666992,458.933014,466.367004,450.833649,2688990
2017-05-24,468.666992,477.799988,460.833008,474.600006,458.792419,3525033
2017-05-25,476.467010,488.666992,471.333008,484.566986,468.427429,5337696
2017-05-26,481.399994,502.632996,468.666992,499.766998,483.121155,5711457
2017-05-29,502.666992,512.833008,498.000000,503.233002,486.471741,6432402
2017-05-30,495.833008,496.632996,483.799988,492.500000,476.096222,3710562
2017-05-31,493.467010,498.766998,492.000000,495.100006,478.609619,3296247
2017-06-01,492.933014,497.867004,485.967010,492.666992,476.257660,2254998
2017-06-02,492.532990,493.333008,481.899994,483.200012,467.105988,1987678
2017-06-05,483.333008,491.733002,482.433014,485.700012,469.522705,2019716
2017-06-06,487.333008,490.666992,482.433014,483.700012,467.589325,2300478
2017-06-07,484.666992,484.933014,474.000000,478.200012,462.272522,4297544
2017-06-08,483.233002,485.666992,470.132996,471.233002,456.492157,3345774
2017-06-09,472.799988,474.233002,463.666992,469.166992,454.490784,2920164
2017-06-12,469.933014,471.132996,466.000000,467.799988,453.166534,2609052
2017-06-13,471.132996,472.433014,464.899994,466.000000,451.422852,1235648
