Date,Open,High,Low,Close,Adj Close,Volume
2013-04-12,395.625000,398.774994,392.250000,395.399994,298.821167,178244
2013-04-15,396.000000,408.000000,394.987000,402.674988,304.319214,668431
2013-04-16,402.000000,419.924988,399.937988,416.100006,314.465118,856968
2013-04-17,417.674988,427.500000,413.250000,420.187988,317.554565,858495
2013-04-18,417.750000,425.850006,414.000000,420.149994,317.525848,560936
2013-04-22,420.149994,431.174988,409.875000,418.575012,316.335602,823515
2013-04-23,418.350006,425.962006,411.112000,416.475006,314.748535,374405
2013-04-25,416.475006,422.924988,407.287994,414.000000,312.878082,614023
2013-04-26,419.250000,421.500000,411.000000,414.412994,313.190186,913492
2013-04-29,412.500000,419.024994,403.500000,412.049988,311.404266,705805
2013-04-30,410.250000,416.325012,399.937988,412.424988,311.687714,745811
2013-05-02,412.424988,427.388000,411.337006,418.312012,316.136810,809285
2013-05-03,417.000000,423.600006,416.888000,418.500000,316.278870,210967
2013-05-06,412.837006,419.774994,411.450012,414.712006,313.416107,253277
2013-05-07,416.850006,416.850006,407.475006,412.462006,311.715698,433547
2013-05-08,412.462006,416.062012,409.500000,411.825012,311.234283,227137
2013-05-09,410.250000,414.000000,407.250000,411.712006,311.148926,459181
2013-05-10,411.750000,420.000000,408.037994,419.024994,316.675598,552140
2013-05-13,416.362000,421.500000,412.912994,414.487000,313.246033,456065
2013-05-14,411.263000,426.337006,411.263000,421.350006,318.432739,286863
2013-05-15,420.750000,450.000000,417.750000,438.825012,331.639435,1106437
2013-05-16,451.950012,453.600006,441.149994,449.024994,339.347992,1575083
2013-05-17,446.549988,449.924988,439.912994,442.087006,334.104675,298451
2013-05-20,440.250000,449.212006,440.250000,444.825012,336.173889,408424
2013-05-21,448.500000,450.000000,443.100006,444.412994,335.862488,403999
2013-05-22,447.750000,447.750000,434.062012,439.500000,332.149536,608355
2013-05-23,442.049988,443.962006,435.750000,438.412994,331.328003,487647
2013-05-24,442.462006,443.212006,432.000000,434.024994,328.011810,276956
2013-05-27,442.462006,443.212006,435.149994,441.263000,333.481903,1132187
2013-05-28,445.462006,458.549988,440.700012,451.462006,341.189667,1454735
2013-05-29,456.000000,465.000000,451.687988,453.787994,342.947571,1902264
2013-05-30,453.750000,458.962006,444.787994,450.000000,340.084808,1356269
2013-05-31,445.725006,472.424988,432.787994,445.950012,337.024048,8820132
2013-06-03,438.000000,442.049988,420.000000,427.763000,323.279358,885635
2013-06-04,427.500000,441.600006,427.500000,437.513000,330.647827,583608
