Date,Open,High,Low,Close,Adj Close,Volume
2013-02-26,211.167007,211.167007,202.533005,204.233002,163.355347,4364194
2013-02-27,205.399994,211.966995,200.167007,210.167007,168.101669,6807174
2013-02-28,212.000000,216.533005,203.533005,208.966995,167.141846,12032721
2013-03-01,208.600006,212.966995,204.000000,209.932999,167.914490,6200786
2013-03-04,209.332993,211.766998,206.067001,208.033005,166.394791,5542634
2013-03-05,208.300003,212.667007,206.500000,211.067001,168.821518,6615426
2013-03-06,211.067001,214.966995,210.332993,212.632996,170.074081,5749960
2013-03-07,211.000000,214.667007,209.699997,213.533005,170.793976,4138908
2013-03-08,214.300003,218.466995,214.000000,217.167007,173.700607,5992362
2013-03-11,217.867004,220.000000,215.533005,216.632996,173.273468,5585457
2013-03-12,216.399994,218.966995,214.399994,216.632996,173.273468,3865820
2013-03-13,214.500000,216.033005,210.500000,211.199997,168.927902,4247684
2013-03-14,210.667007,215.199997,207.600006,213.266998,170.581177,5512874
2013-03-15,214.667007,217.167007,212.067001,212.766998,170.181259,4593182
2013-03-18,210.533005,213.899994,209.332993,211.766998,169.381424,2937026
2013-03-19,210.832993,212.600006,200.000000,206.567001,165.222229,7838372
2013-03-20,205.000000,206.500000,200.000000,200.533005,160.395966,6270438
2013-03-21,201.033005,203.000000,196.000000,198.699997,158.929825,5150030
2013-03-22,197.466995,199.733002,192.832993,197.100006,160.888870,7219502
2013-03-25,201.667007,207.300003,200.533005,202.632996,165.405350,7836987
2013-03-26,200.667007,204.567001,199.332993,202.199997,165.051895,4286050
2013-03-28,202.199997,209.332993,200.867004,207.600006,169.459839,6609544
2013-04-01,207.600006,210.667007,204.332993,205.899994,168.072174,2230650
2013-04-02,204.733002,212.332993,204.332993,211.466995,172.616379,3857278
2013-04-03,210.000000,211.300003,204.367004,207.033005,168.997009,3372874
2013-04-04,206.667007,209.867004,203.533005,205.100006,167.419144,4230934
2013-04-05,205.100006,210.266998,204.733002,209.533005,171.037704,4302750
2013-04-08,210.000000,212.266998,207.600006,208.567001,170.249191,3928152
2013-04-09,209.033005,210.600006,200.733002,202.533005,165.323746,4350922
2013-04-10,202.932999,203.332993,197.100006,201.932999,164.833969,6168243
2013-04-11,202.800003,206.167007,198.699997,204.832993,167.201187,6457176
2013-04-12,203.332993,206.932999,202.632996,205.867004,168.045227,2212935
2013-04-15,205.332993,218.132996,204.167007,212.667007,173.595947,8500040
2013-04-16,213.667007,221.899994,213.332993,221.266998,180.615921,7145606
2013-04-17,223.000000,224.332993,216.899994,219.233002,178.955612,6483210
2013-04-18,217.367004,224.266998,216.733002,222.899994,181.948898,4619811
2013-04-22,222.899994,223.199997,218.067001,218.699997,178.520584,5141532
2013-04-23,221.233002,221.233002,213.699997,217.632996,177.649582,4650722
2013-04-25,217.632996,224.266998,214.632996,217.667007,177.677338,10452446
2013-04-26,217.266998,220.466995,215.266998,216.100006,176.398193,3283458
2013-04-29,217.667007,221.733002,216.667007,219.233002,178.955612,4057424
2013-04-30,219.332993,219.800003,210.867004,217.800003,177.785889,5604578
2013-05-02,217.800003,221.332993,215.332993,219.266998,178.983414,4491693
2013-05-03,218.000000,220.533005,215.000000,215.832993,176.180267,2813607
2013-05-06,217.300003,217.867004,211.733002,212.533005,173.486542,3397764
2013-05-07,214.632996,214.667007,212.332993,213.300003,174.112625,3689247
2013-05-08,214.000000,216.567001,212.000000,213.432999,174.221191,5236376
2013-05-09,213.399994,215.667007,212.867004,214.367004,174.983627,2809546
2013-05-10,215.199997,219.567001,215.067001,217.632996,177.649582,6119714
2013-05-13,219.399994,220.000000,213.432999,213.899994,174.602386,3017266
2013-05-14,215.000000,219.332993,214.667007,217.832993,177.812851,4032674
2013-05-15,218.632996,224.399994,218.000000,223.367004,182.330139,7499612
2013-05-16,222.332993,230.132996,222.033005,225.266998,183.881058,9114040
2013-05-17,225.966995,228.332993,225.100006,227.167007,185.432022,5398696
2013-05-20,228.000000,228.667007,220.667007,221.800003,181.051025,3948702
2013-05-21,223.332993,225.332993,217.332993,217.832993,177.812851,5165012
2013-05-22,218.733002,221.132996,211.632996,219.432999,179.118866,7879792
2013-05-23,217.033005,222.533005,217.033005,218.766998,178.575226,7861276
2013-05-24,220.000000,221.233002,215.332993,216.632996,176.833282,4442007
2013-05-27,217.533005,219.100006,213.667007,217.966995,177.922211,4854214
2013-05-28,218.199997,223.966995,218.199997,222.632996,181.731003,6193014
2013-05-29,224.332993,224.667007,221.600006,223.300003,182.275436,5535039
2013-05-30,218.000000,225.067001,217.399994,222.600006,181.704041,8016432
2013-05-31,220.733002,222.966995,216.266998,218.600006,178.438919,6435490
2013-06-03,218.167007,219.699997,210.432999,211.332993,172.507004,4447596
2013-06-04,212.000000,215.266998,210.332993,212.132996,173.160019,4068080
2013-06-05,212.600006,216.832993,211.332993,216.399994,176.643127,2240910
2013-06-06,216.000000,216.733002,213.533005,215.932999,176.261887,3733232
2013-06-07,215.332993,218.000000,212.233002,212.867004,173.759216,3237140
2013-06-10,214.632996,216.233002,211.867004,214.033005,174.710968,2259282
2013-06-11,212.367004,215.132996,204.199997,205.466995,167.718689,6212306
2013-06-12,205.466995,208.667007,204.766998,206.132996,168.262344,3935146
2013-06-13,204.667007,207.832993,203.600006,206.067001,168.208481,3903296
2013-06-14,207.800003,210.100006,205.500000,207.500000,169.378189,5390380
2013-06-17,208.000000,209.067001,205.399994,208.567001,170.249191,2341330
2013-06-18,208.033005,208.533005,204.033005,205.167007,167.473846,2561842
2013-06-19,204.667007,207.332993,201.466995,205.899994,168.072174,4459564
2013-06-20,203.667007,204.000000,198.399994,199.632996,162.956543,5046345
2013-06-21,199.332993,206.000000,198.266998,205.167007,167.473846,6561486
