Date,Open,High,Low,Close,Adj Close,Volume
2013-02-26,69.055603,69.755600,66.588898,66.766701,29.294178,3458272
2013-02-27,67.388901,68.666702,66.344398,67.622200,29.669529,6194511
2013-02-28,67.777802,68.633301,63.777802,64.388901,28.250906,18214780
2013-03-01,64.477798,67.666702,64.477798,67.199997,29.484287,7363336
2013-03-04,67.777802,68.344398,66.022202,66.244400,29.065014,3446852
2013-03-05,66.333298,67.222198,65.466698,66.855598,29.333174,2449274
2013-03-06,66.777802,67.666702,66.555603,66.788902,29.303913,2240870
2013-03-07,67.111099,67.955597,66.544403,67.266701,29.513554,2800332
2013-03-08,67.666702,69.500000,67.333298,69.033302,30.288656,4263502
2013-03-11,69.111099,69.755600,68.077797,68.377800,30.001051,1652238
2013-03-12,68.222198,68.988899,67.377800,68.188904,29.918177,3747694
2013-03-13,67.777802,68.211098,66.533302,66.722198,29.274647,1730120
2013-03-14,66.666702,68.355598,66.444397,67.866699,29.776804,3363016
2013-03-15,68.400002,68.844398,67.177803,67.655602,29.684187,6426810
2013-03-18,67.333298,67.333298,66.222198,66.955597,29.377054,1240749
2013-03-19,67.133301,67.511101,64.322197,65.266701,28.636045,3619242
2013-03-20,65.166702,65.733299,64.444397,64.966698,28.504416,5629180
2013-03-21,65.000000,65.755600,62.833302,63.211102,27.734144,2323926
2013-03-22,63.200001,63.888901,61.599998,63.122200,27.695137,2640532
2013-03-25,64.888901,65.311096,62.188900,62.700001,27.509893,4420305
2013-03-26,62.666698,63.466702,62.000000,62.444401,27.397751,1837174
2013-03-28,62.444401,63.988899,61.888901,63.377800,27.807283,2716448
2013-04-01,63.377800,63.444401,62.388901,62.888901,27.592777,1189426
2013-04-02,62.888901,64.111099,62.433300,63.555599,27.885292,1640745
2013-04-03,62.888901,64.000000,62.455601,62.855598,27.578165,2600276
2013-04-04,62.788898,63.377800,62.000000,62.111099,27.251514,1900080
2013-04-05,62.111099,63.322201,62.000000,63.133301,27.700008,2715188
2013-04-08,63.333302,64.933296,63.177799,64.488899,28.294783,2950024
2013-04-09,64.888901,66.288902,63.933300,64.477798,28.289917,6629224
